Official Name of Satellite,Country/Organization of UN Registry,Longitude,Latitude,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Year
Dove 1c-9,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,607,623,0.00115,97.99,96.99,4,1500,900,5,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AB,40035,2014
Dove 1e-10,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,401,0.000222,51.6,92.55,4,1500,900,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GP,40737,2015
Dove 1e-11,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,402,0.000443,51.6,92.54,4,1500,900,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GQ,40738,2015
Dove 1e-12,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,402,0.000443,51.6,92.54,4,1500,900,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GR,40739,2015
Dove 1e-13,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,395,401,0.000443,51.6,92.55,4,1500,900,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GS,40740,2015
Dove 1e-14,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,395,403,0.000591,51.6,92.53,4,1500,900,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GT,40741,2015
Dove 1e-6,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,403,0.000517,51.6,92.55,4,1500,900,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GM,40729,2015
Dove 1e-7,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,396,402,0.000443,51.6,92.54,4,1500,900,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067GJ,40726,2015
Dove 2b-1,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,400,403,0.000222,51.65,92.6,4,1500,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HB,40950,2015
Dove 2b-10,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,395,408,0.00096,51.64,92.6,4,1500,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HL,40963,2015
Dove 2b-13,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,397,407,0.000738,51.64,92.6,4,1500,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HM,40979,2015
Dove 2b-14,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,406,0.000591,51.64,92.6,4,1500,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HN,40980,2015
Dove 2b-2,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,406,0.000591,51.64,92.6,4,1500,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HC,40951,2015
Dove 2b-3,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,405,0.000443,51.64,92.6,4,1500,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HD,40952,2015
Dove 2b-4,USA,-95.712891,37.09024,"Planet Labs, Inc.",USA,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,401,403,0.000148,51.63,92.6,4,1500,120,5,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HE,40953,2015
